command,mean,stddev,median,user,system,min,max,parameter
./target/release/rust_matrix 100 100,0.0007604815508371658,0.00011684881050625643,0.00072634048,0.0007295927782888676,0.000647156246550138,0.0005722074800000002,0.0013392804800000002,100
./target/release/rust_matrix 200 200,0.0019375675973974562,0.00011289256404589859,0.00191717448,0.0013614573196605376,0.0011925279207920783,0.0017002174800000002,0.0025918284800000003,200
./target/release/rust_matrix 300 300,0.003965163856518219,0.00018861087521719068,0.00393205898,0.00236633350202429,0.0021100757085020256,0.0036122794800000006,0.00532721748,300
./target/release/rust_matrix 400 400,0.0075092947741176525,0.0003352110251802319,0.00748646048,0.004302725773993807,0.003283696842105262,0.006858515480000001,0.008244593480000001,400
./target/release/rust_matrix 500 500,0.012916100689523816,0.0005037716469513451,0.013093310980000002,0.008034372380952377,0.004849442476190476,0.01144042848,0.013672229480000003,500
./target/release/rust_matrix 600 600,0.01982197266055556,0.000726249674780844,0.019975366980000003,0.012781004166666662,0.006971107222222221,0.01801786248,0.02144007448,600
./target/release/rust_matrix 700 700,0.029238143299148932,0.0009545557031423524,0.02958469798,0.020494115425531905,0.008660808085106381,0.026830174480000003,0.03056683748,700
./target/release/rust_matrix 800 800,0.04199670092285716,0.0010916769995469827,0.04222540948,0.03000124642857144,0.011887267428571427,0.03906022748,0.04408275248,800
./target/release/rust_matrix 900 900,0.057892920518461545,0.0012037228858901062,0.05796782048,0.042902640384615394,0.014853995384615386,0.05356932048,0.06038438048,900
./target/release/rust_matrix 1000 1000,0.07622007030051284,0.0012347483667384661,0.07650994248,0.05757612115384615,0.018498162051282054,0.07230977548,0.07828820148,1000
